state,state_AB,year,state_year,treat,ban_policy,ban_year,total_suicide,gender,median_income,crime_rate,diversity,median_age,pol_aff,education_rate
Vermont,VT,2009,VT2009,1,0,2016,13.900,,,,,,,
Washington,WA,2009,WA2009,1,0,2018,13.800,,,,,,,
West Virginia,WV,2009,WV2009,0,0,0,13.600,,,,,,,
Wyoming,WY,2009,WY2009,0,0,0,19.800,,,,,,,
Alabama,AL,2010,AL2010,0,0,0,14.200,0.482,53420,377.8,0.187,37.8,1,0.821
Alaska,AK,2010,AK2010,0,0,0,23.100,0.508,75490,638.8,0.358,33.8,1,0.91
Arizona,AZ,2010,AZ2010,0,0,0,17.100,0.492,61200,408.1,0.42,35.9,1,0.856
Arkansas,AR,2010,AR2010,0,0,0,15.300,0.488,50350,505.3,0.254,37.3,0,0.829
California,CA,2010,CA2010,1,0,2013,10.500,0.493,70840,440.6,0.6,35.2,1,0.807
Colorado,CO,2010,CO2010,1,0,2019,17.200,0.498,78600,320.8,0.298,36,0,0.897
Connecticut,CT,2010,CT2010,1,0,2017,9.900,0.483,86120,281.4,0.288,40,1,0.886
Delaware,DE,2010,DE2010,1,0,2018,11.800,0.481,72050,620.9,0.344,38.8,0,0.874
Florida,FL,2010,FL2010,0,0,0,14.800,0.484,57500,542.4,0.421,40.7,1,0.855
Georgia,GA,2010,GA2010,0,0,0,11.700,0.483,57570,403.3,0.44,35.4,1,0.843
Hawaii,HI,2010,HI2010,1,0,2018,15.200,0.489,77700,262.7,0.783,38.7,0,0.899
Idaho,ID,2010,ID2010,0,0,0,18.500,0.498,61400,221,0.158,34.7,1,0.883
Illinois,IL,2010,IL2010,1,0,2016,9.200,0.489,66200,435.2,0.363,36.6,0,0.869
Indiana,IN,2010,IN2010,0,0,0,13.300,0.49,60210,314.5,0.183,36.9,1,0.87
Iowa,IA,2010,IA2010,0,0,0,12.200,0.494,63960,273.5,0.112,38.2,0,0.906
Kansas,KS,2010,KS2010,0,0,0,14.100,0.489,60100,369.1,0.217,36.2,0,0.892
Kentucky,KY,2010,KY2010,0,0,0,14.500,0.487,53640,242.6,0.132,38,0,0.819
Louisiana,LA,2010,LA2010,0,0,0,12.300,0.483,51280,549,0.393,35.9,1,0.819
Maine,ME,2010,ME2010,1,0,2019,14.000,0.487,62550,122,0.054,42.7,0,0.903
Maryland,MD,2010,MD2010,1,0,2018,8.700,0.48,83780,547.7,0.452,38,0,0.881
Massachusetts,MA,2010,MA2010,1,0,2019,9.100,0.483,79520,466.6,0.236,39.1,0,0.891
Michigan,MI,2010,MI2010,0,0,0,12.800,0.489,60390,490.3,0.233,39,0,0.887
Mississippi,MS,2010,MS2010,0,0,0,13.100,0.479,49800,269.7,0.416,36.1,1,0.81
Missouri,MO,2010,MO2010,0,0,0,14.300,0.486,59790,455,0.188,38,0,0.869
Montana,MT,2010,MT2010,0,0,0,22.700,0.503,53870,272.2,0.12,40.1,0,0.917
Nebraska,NE,2010,NE2010,0,0,0,10.500,0.494,68510,279.5,0.176,36.3,1,0.904
Nevada,NV,2010,NV2010,1,0,2018,20.200,0.501,66810,660.6,0.461,36.3,0,0.847
New Hampshire,NH,2010,NH2010,1,0,2019,14.900,0.491,86950,167,0.079,41.3,0,0.915
New Jersey,NJ,2010,NJ2010,1,0,2013,8.200,0.484,82170,307.7,0.406,39,1,0.88
New Mexico,NM,2010,NM2010,1,0,2017,20.000,0.489,58900,588.9,0.595,36.7,0,0.833
New York,NY,2010,NY2010,1,0,2019,8.000,0.482,64960,392.1,0.418,38,0,0.849
North Carolina,NC,2010,NC2010,0,0,0,12.300,0.481,57200,363.4,0.346,37.3,0,0.847
Ohio,OH,2010,OH2010,0,0,0,12.400,0.486,59880,315.2,0.187,38.9,0,0.881
Oklahoma,OK,2010,OK2010,0,0,0,16.400,0.487,56250,479.5,0.312,36.3,0,0.862
Oregon,OR,2010,OR2010,1,0,2015,17.900,0.493,66030,252,0.215,38.5,0,0.888
Pennsylvania,PA,2010,PA2010,0,0,0,12.400,0.485,63050,366.2,0.202,40.2,0,0.884
Rhode Island,RI,2010,RI2010,1,0,2017,12.200,0.483,67370,256.6,0.236,39.6,0,0.835
South Carolina,SC,2010,SC2010,0,0,0,13.800,0.479,54410,597.7,0.356,37.8,1,0.841
South Dakota,SD,2010,SD2010,0,0,0,17.200,0.501,59180,268.5,0.15,37.3,1,0.896
Tennessee,TN,2010,TN2010,0,0,0,14.800,0.483,50360,613.3,0.242,38,0,0.836
Texas,TX,2010,TX2010,0,0,0,11.500,0.49,61680,450.3,0.548,33.6,1,0.807
Vermont,VT,2010,VT2010,1,0,2016,16.900,0.49,72980,130.2,0.055,41.5,0,0.91
Washington,WA,2010,WA2010,1,0,2018,14.200,0.494,73290,313.8,0.273,37.2,0,0.898
West Virginia,WV,2010,WV2010,0,0,0,15.100,0.489," 55,820.00 ",314.600,0.064,41.200,0,0.832
Wisconsin,WI,2010,WI2010,0,0,0,13.900,0.494," 65,710.00 ",248.700,0.165,38.500,1,0.901
Wyoming,WY,2010,WY2010,0,0,0,23.200,0.502," 68,120.00 ",195.900,0.139,36.700,0,0.923
Alabama,AL,2011,AL2011,0,0,0,13.600,0.478,53900,420.1,0.331,38.10,1,0.827
Alaska,AK,2011,AK2011,0,0,0,19.800,0.507,72690,606.5,0.367,33.9,1,0.918
Arizona,AZ,2011,AZ2011,0,0,0,17.900,0.492,61540,405.9,0.425,36.2,1,0.857
Arkansas,AR,2011,AR2011,0,0,0,15.700,0.491,52270,480.9,0.255,37.5,0,0.838
California,CA,2011,CA2011,1,0,2013,10.600,0.494,67540,411.1,0.605,35.4,1,0.811
Colorado,CO,2011,CO2011,1,0,2019,17.800,0.497,74200,320.2,0.301,36.2,0,0.902
Connecticut,CT,2011,CT2011,1,0,2017,10.300,0.485,82790,272.8,0.291,40.3,0,0.891
Delaware,DE,2011,DE2011,1,0,2018,11.600,0.48,69180,559.5,0.347,39.1,0,0.872
Florida,FL,2011,FL2011,0,0,0,15.100,0.485,57090,515.3,0.425,41.1,1,0.859
Georgia,GA,2011,GA2011,0,0,0,11.800,0.484,58190,373.2,0.443,35.5,1,0.843
Hawaii,HI,2011,HI2011,1,0,2018,13.100,0.487,74730,287.2,0.781,38.5,0,0.906
Idaho,ID,2011,ID2011,0,0,0,17.700,0.5,60070,200.9,0.161,35,1,0.886
Illinois,IL,2011,IL2011,1,0,2016,9.500,0.488,64090,429.3,0.368,36.8,0,0.872
Indiana,IN,2011,IN2011,0,0,0,13.500,0.49,56250,331.8,0.186,37.1,1,0.873
Iowa,IA,2011,IA2011,0,0,0,13.800,0.494,63560,255.6,0.114,38.1,1,0.906
Kansas,KS,2011,KS2011,0,0,0,13.700,0.493,58410,353.9,0.22,36.3,1,0.9
Kentucky,KY,2011,KY2011,0,0,0,15.400,0.488,50440,238.2,0.136,38.2,0,0.831
Louisiana,LA,2011,LA2011,0,0,0,12.500,0.483,51460,555.3,0.395,35.9,1,0.825
Maine,ME,2011,ME2011,1,0,2019,17.500,0.487,62890,123.2,0.055,43.2,1,0.909
Maryland,MD,2011,MD2011,1,0,2018,9.500,0.48,87170,494.1,0.457,38,0,0.889
Massachusetts,MA,2011,MA2011,1,0,2019,8.900,0.484,80130,428.4,0.241,39.3,0,0.892
Michigan,MI,2011,MI2011,0,0,0,12.400,0.488,61860,445.3,0.234,39.2,1,0.888
Mississippi,MS,2011,MS2011,0,0,0,13.100,0.482,52010,269.8,0.419,36.1,1,0.811
Missouri,MO,2011,MO2011,0,0,0,15.500,0.487,57930,447.4,0.189,38,0,0.876
Montana,MT,2011,MT2011,0,0,0,23.200,0.5,50980,267.5,0.124,39.7,0,0.923
Nebraska,NE,2011,NE2011,0,0,0,10.400,0.495,70390,253.2,0.181,36.3,1,0.91
Nevada,NV,2011,NV2011,1,0,2018,18.900,0.5,59540,562.1,0.465,36.7,1,0.84
New Hampshire,NH,2011,NH2011,1,0,2019,15.000,0.495,83380,188,0.078,41.5,0,0.914
